file	merge_min	min_entropy	merge_max	max_entropy	initial_entropy	final_entropy
khk-x-bible.txt.clean.txt.measures.tsv	350.0	8.040476720644214	3750.0	10.239220736676035	8.040476720644214	10.239220736676035
kor-x-bible-revised.txt.clean.txt.measures.tsv	350.0	9.219994793228993	3050.0	10.784926076124622	9.219994793228993	10.784926076124622
laj-x-bible.txt.clean.txt.measures.tsv	350.0	7.84755674087851	2300.0	8.843887837821248	7.84755674087851	8.843887837821248
mig-x-bible.txt.clean.txt.measures.tsv	350.0	7.879332797426247	3200.0	8.954678622653223	7.879332797426247	8.947416671532475
mya-x-bible-common.txt.clean.txt.measures.tsv	350.0	8.178533457897998	5000.0	10.8173951258683	8.178533457897998	10.8173951258683
mzh-x-bible.txt.clean.txt.measures.tsv	350.0	7.7107167894198625	2150.0	8.601829103518224	7.7107167894198625	8.533244444188101
naq-x-bible.txt.clean.txt.measures.tsv	350.0	7.749519523749171	2800.0	8.677816363442389	7.749519523749171	8.677816363442389
pes-x-bible-2007.txt.clean.txt.measures.tsv	350.0	7.920104203456228	3250.0	9.255427675225585	7.920104203456228	9.252575712916345
plt-x-bible-romancatholic.txt.clean.txt.measures.tsv	350.0	7.880715558210427	3100.0	9.02988349502122	7.880715558210427	9.02988349502122
qvi-x-bible.txt.clean.txt.measures.tsv	350.0	8.052630162137389	3800.0	10.268142559325248	8.052630162137389	10.268142559325248
rus-x-bible-kulakov.txt.clean.txt.measures.tsv	350.0	7.960606255309372	4250.0	10.003774182140925	7.960606255309372	10.002324454930749
sag-x-bible.txt.clean.txt.measures.tsv	1150.0	6.763994604793024	450.0	6.942001145841007	6.927150627300332	6.763994604793024
spa-x-bible-reinavaleracontemporanea.txt.clean.txt.measures.tsv	350.0	7.803977232608185	3050.0	8.95033838545805	7.803977232608185	8.94675017062205
swh-x-bible-union1997.txt.clean.txt.measures.tsv	350.0	7.888788785489809	3400.0	9.996750046671336	7.888788785489809	9.996750046671336
tgl-x-bible-1996.txt.clean.txt.measures.tsv	350.0	7.721625652612463	2350.0	8.731553709588164	7.721625652612463	8.693524752423738
tha-x-bible-standard2011.txt.clean.txt.measures.tsv	350.0	8.057263311247132	1450.0	8.596168304269522	8.057263311247132	8.525185790642716
tur-x-bible-2009.txt.clean.txt.measures.tsv	350.0	8.151863804042979	4750.0	10.908772172926547	8.151863804042979	10.908772172926547
vie-x-bible-2002.txt.clean.txt.measures.tsv	350.0	8.158122288634347	1450.0	8.879263154483363	8.158122288634347	8.872753290319103
xsu-x-bible.txt.clean.txt.measures.tsv	350.0	7.285674999281243	1150.0	7.5604778771080206	7.285674999281243	7.512045120028951
yad-x-bible.txt.clean.txt.measures.tsv	350.0	8.070574447536957	4900.0	10.41033999778092	8.070574447536957	10.41033999778092
yaq-x-bible.txt.clean.txt.measures.tsv	350.0	7.934978821647368	3650.0	9.307076971704237	7.934978821647368	9.307076971704237
yor-x-bible-2010.txt.clean.txt.measures.tsv	350.0	7.591975601342555	1450.0	8.057547403478226	7.591975601342555	8.032706384176489
