file	merge_min	min_ttr	merge_max	max_ttr	initial_ttr	final_ttr
ind-x-bible-suciinjil.txt.clean.txt.measures.tsv	350.0	0.007929874630516767	3450.0	0.10175130009177119	0.007929874630516767	0.10175130009177119
jac-x-bible.txt.clean.txt.measures.tsv	350.0	0.007126486176765506	3300.0	0.08179581795817958	0.007126486176765506	0.08179581795817958
kal-x-bible.txt.clean.txt.measures.tsv	350.0	0.00887613753530282	5000.0	0.2384084537416433	0.00887613753530282	0.2384084537416433
kat-x-bible.txt.clean.txt.measures.tsv	350.0	0.008916668487881635	4200.0	0.1591060855629257	0.008916668487881635	0.1591060855629257
kew-x-bible.txt.clean.txt.measures.tsv	350.0	0.008613021500010847	2500.0	0.07756223516949153	0.008613021500010847	0.07756223516949153
khk-x-bible.txt.clean.txt.measures.tsv	350.0	0.008565403595730343	3750.0	0.14430272108843537	0.008565403595730343	0.14430272108843537
kor-x-bible-revised.txt.clean.txt.measures.tsv	350.0	0.045289670836299534	3050.0	0.18866358969040087	0.045289670836299534	0.18866358969040087
laj-x-bible.txt.clean.txt.measures.tsv	350.0	0.01065934065934066	2300.0	0.08250332674704625	0.01065934065934066	0.08250332674704625
mig-x-bible.txt.clean.txt.measures.tsv	350.0	0.008145857336324865	3300.0	0.10050949513663733	0.008145857336324865	0.10050949513663733
mya-x-bible-common.txt.clean.txt.measures.tsv	350.0	0.006679106687992417	5000.0	0.14786775275515093	0.006679106687992417	0.14786775275515093
mzh-x-bible.txt.clean.txt.measures.tsv	350.0	0.008253542314651054	3300.0	0.09594628740569613	0.008253542314651054	0.09594628740569613
naq-x-bible.txt.clean.txt.measures.tsv	350.0	0.00946580742629181	2800.0	0.09181775070222158	0.00946580742629181	0.09181775070222158
pes-x-bible-2007.txt.clean.txt.measures.tsv	350.0	0.009442933280258298	3350.0	0.10600508525276697	0.009442933280258298	0.10600508525276697
plt-x-bible-romancatholic.txt.clean.txt.measures.tsv	350.0	0.008987501755371437	3100.0	0.101373701210258	0.008987501755371437	0.101373701210258
qvi-x-bible.txt.clean.txt.measures.tsv	350.0	0.008078921727833713	3800.0	0.133031953943047	0.008078921727833713	0.133031953943047
rus-x-bible-kulakov.txt.clean.txt.measures.tsv	350.0	0.008170369611958637	4400.0	0.1436793093801207	0.008170369611958637	0.1436793093801207
sag-x-bible.txt.clean.txt.measures.tsv	350.0	0.009016315237095698	1150.0	0.024035929139752155	0.009016315237095698	0.024035929139752155
spa-x-bible-reinavaleracontemporanea.txt.clean.txt.measures.tsv	350.0	0.008589866573646115	3250.0	0.09973065712282773	0.008589866573646115	0.09973065712282773
swh-x-bible-union1997.txt.clean.txt.measures.tsv	350.0	0.00968745220007138	3400.0	0.13998741468609321	0.00968745220007138	0.13998741468609321
tgl-x-bible-1996.txt.clean.txt.measures.tsv	350.0	0.008293814109929597	3300.0	0.09432163288367823	0.008293814109929597	0.09432163288367823
tha-x-bible-standard2011.txt.clean.txt.measures.tsv	350.0	0.009006654470155405	2400.0	0.05749683319430284	0.009006654470155405	0.05749683319430284
tur-x-bible-2009.txt.clean.txt.measures.tsv	350.0	0.007957767132662039	4750.0	0.18824171327240485	0.007957767132662039	0.18824171327240485
vie-x-bible-2002.txt.clean.txt.measures.tsv	350.0	0.01296600731823726	1750.0	0.059001569389432774	0.01296600731823726	0.059001569389432774
xsu-x-bible.txt.clean.txt.measures.tsv	350.0	0.005407462823693087	2500.0	0.03784580460451643	0.005407462823693087	0.03784580460451643
yad-x-bible.txt.clean.txt.measures.tsv	350.0	0.006859982850042875	4900.0	0.1651021111919997	0.006859982850042875	0.1651021111919997
yaq-x-bible.txt.clean.txt.measures.tsv	350.0	0.005987557107885176	3650.0	0.08995207581713424	0.005987557107885176	0.08995207581713424
yor-x-bible-2010.txt.clean.txt.measures.tsv	350.0	0.010202802637186334	1950.0	0.05466205211726385	0.010202802637186334	0.05466205211726385
