id,language,final_merge,word_length,char_vocab,H_0,H_20,H_30,H_60,H_100,H_200,H_350,H_5000,H_wordlevel,R_0,R_20,R_30,R_60,R_100,R_200,R_350,R_5000,R_wordlevel,H1gram,H3gram
ell,Modern Greek,3950,4.28173457,31,4.596544716,5.401776967,5.626957974,6.217559561,6.704891211,7.362721923,7.834044129,9.387856215,9.155984331,0.1630248232,0.1030476492,0.09380783738,0.07206693549,0.0648589477,0.07162201829,0.08905540408,0.1931234487,0.2364618562,0.683407727,0.6553530662
eng,English,2550,2.789845945,29,4.776701087,5.548060553,5.713564918,6.242553403,6.671981012,7.358860188,7.841718252,8.376184148,8.164267247,0.1492523711,0.0917511107,0.09362886401,0.07584642958,0.07455105494,0.07348482869,0.08855662281,0.2381866227,0.2642627,0.7031572068,0.6672036502
eus,Basque,3850,3.79367582,32,4.420236296,5.391580519,5.642865402,6.217763894,6.689830707,7.358666677,7.99348501,10.21439888,10.0347784,0.1514970984,0.07565880617,0.06976880405,0.05790212044,0.05750909136,0.0664721679,0.06930369107,0.1272011131,0.1612761193,0.6557822966,0.5884032285
fij,Fijian,1800,2.701675499,29,4.271416498,5.282716399,5.540980947,6.044144505,6.461143763,6.931761116,7.186330372,7.259164733,7.158370598,0.1295064737,0.06398812773,0.05807969306,0.0666471112,0.0769794625,0.1106759974,0.1572735562,0.306173175,0.3274075555,0.5687504397,0.5193495425
fin,Finnish,4450,3.794321062,31,4.48116732,5.297046758,5.547422778,6.098593865,6.613377041,7.380266277,8.021010791,10.48489519,10.27299507,0.1741709034,0.1138031302,0.10378352,0.08792441723,0.07632739055,0.06871408332,0.06931399284,0.1209955645,0.1616110374,0.6964946127,0.5899504384
fra,French,3550,2.874828689,48,4.835936138,5.611374963,5.842898016,6.345840581,6.790119707,7.429824336,7.93122214,9.16986979,8.943708024,0.2083299048,0.1312896716,0.1166811313,0.09345134552,0.08039116431,0.07826515247,0.08768228692,0.2055593287,0.2426082023,0.6068049795,0.6091505725
gug,Paraguayan Guaraní,3450,3.799776933,57,4.958439317,5.692067263,5.874072115,6.304703082,6.761669014,7.463455688,8.018629653,9.552146052,9.282675232,0.1814145542,0.1522402259,0.1419062666,0.1218965306,0.1022006986,0.08477962503,0.08409678007,0.1717090494,0.2137421813,0.6138013392,0.6423229356
hae,Eastern Oromo,3650,3.975632514,35,4.521507426,5.553257366,5.753759405,6.160176064,6.606367193,7.296039307,7.945051123,10.05104899,9.957167803,0.226379017,0.08125491875,0.07909312447,0.08438631137,0.08115043159,0.08071410547,0.07891035183,0.1387106841,0.1774507182,0.6523909432,0.5731394986
hau,Hausa,2450,2.753900803,38,4.510632284,5.489180343,5.778125949,6.348236494,6.727493782,7.333287147,7.779105856,8.545678129,8.403217459,0.192361223,0.09828109237,0.08070704974,0.06020100376,0.06558334044,0.07670459495,0.09544364015,0.2238137009,0.2525146722,0.6096593057,0.613521594
hin,Hindi,2600,3.086270263,69,5.661295918,6.19154962,6.370300564,6.789638435,7.104718157,7.623818587,8.02122719,8.699520103,8.537888367,0.1585370315,0.1126126961,0.101187448,0.07937598184,0.07399318459,0.0751355483,0.08859011224,0.2150912321,0.2442284062,0.540390154,0.7294623895
ind,Indonesian,3450,3.929632822,28,4.512688075,5.389416638,5.686456611,6.271423183,6.790599386,7.385300074,7.931463909,9.18208065,8.933331289,0.1683619804,0.09834963279,0.08132184407,0.06207691786,0.05157522159,0.06737875723,0.07812547973,0.1929794208,0.2210287935,0.6617383746,0.5989259118
jac,Popti',3300,3.317967735,34,4.795017842,5.587663408,5.831127305,6.351599601,6.760738421,7.364614907,7.857996407,8.665095442,8.396555872,0.162869338,0.09728242622,0.08531902152,0.06870484836,0.06843363383,0.07680124327,0.09015422662,0.2430644371,0.2852640594,0.6240752395,0.6463897989
kal,Kalaallisut,6000,6.159270012,39,4.10985225,5.16335902,5.48510018,6.096183433,6.596679431,7.364209488,8.037779458,11.40660864,11.63157011,0.2680205453,0.1547289274,0.1298713583,0.09928820786,0.08622725557,0.07417302753,0.06855402875,0.05812110473,0.07124326142,0.572896735,0.4556804827
kat,Georgian,4200,4.739618256,44,4.837073056,5.704376098,5.928879215,6.29197986,6.678542172,7.344121007,7.835924407,9.788008591,9.473312937,0.1907568128,0.1052014409,0.09332692688,0.09370303005,0.09119754715,0.08642928024,0.09645524779,0.1707413388,0.2173790201,0.6321996874,0.6704287162
kew,West Kewa,2500,3.614112282,32,4.273799731,5.328215778,5.545720182,6.171813311,6.610550112,7.443331438,8.065833909,9.161910274,9.055300152,0.2465657151,0.1335878249,0.1252600331,0.09163444916,0.08673936457,0.06490833775,0.06569693082,0.1815441597,0.2221300092,0.5732193705,0.5835246327
khk,Halh Mongolian,3750,3.664992488,28,4.690457408,5.502650874,5.759094103,6.271523463,6.729325544,7.409532753,8.040476721,10.23922074,10.08959721,0.1408524301,0.08289152108,0.07252800463,0.06401315043,0.06145105522,0.06571956205,0.06745205329,0.1269996773,0.1683385945,0.7453786567,0.6012314705
kor,Korean,3050,2.747274167,735,7.771014167,8.055542609,8.145968309,8.382029979,8.595835675,8.893253827,9.219994793,10.78492608,11.01768758,0.2209052374,0.1946724401,0.1867700694,0.1664053165,0.1495348709,0.1300565147,0.1120707472,0.08825851254,0.1099967019,0.393767758,0.8611209311
laj,Lango (Uganda),2300,2.631656287,31,4.721893247,5.414483204,5.656164131,6.148773972,6.615264435,7.340934139,7.847556741,8.843887838,8.764191666,0.1298078033,0.09415599185,0.08621575987,0.08041972822,0.07606378328,0.07367724651,0.08748415421,0.1959071579,0.2287849509,0.6027895586,0.5582432503
